invoice_date,invoice_number,location_zip,total,completion_date
2021-07-02,26253796,80923.0,508.4,2021-07-02
2021-06-30,26253910,80809.0,121.95,2021-06-30
2021-06-18,26255193,80919.0,1050.4,2021-06-18
2021-06-30,26255955,80831.0,149.0,2021-06-30
2021-06-30,26258679,80921.0,248.0,2021-06-30
2021-06-30,26258679-1,80921.0,-49.0,2021-06-30
2021-07-01,26259283,80905.0,320.0,2021-07-01
2021-06-23,26275162,80817.0,150.0,2021-06-23
2021-06-18,26276564,80915.0,0.0,2021-06-18
2021-07-01,26278100,80906.0,128.0,2021-07-01
2021-06-30,26278228,80921.0,570.95,2021-06-30
2021-06-29,26278356,80919.0,634.4,2021-06-29
2021-07-01,26278370,80923.0,167.4,2021-07-01
2021-06-16,26280531,80921.0,467.0,2021-06-16
2021-07-01,26280794,80919.0,1306.4,2021-07-01
2021-07-12,26281171,80831.0,251.0,2021-07-12
2021-07-01,26281692,80915.0,558.95,2021-07-01
2021-07-01,26282089,80922.0,236.4,2021-07-01
2021-07-01,26282973,80919.0,398.0,2021-07-01
2021-07-01,26283219,80905.0,114.0,2021-07-01
2021-06-28,26283475,80920.0,231.0,2021-06-28
2021-07-01,26285140,80925.0,72.0,2021-07-01
2021-06-30,26285523,80921.0,0.0,2021-06-30
2021-06-30,26286038,80920.0,531.95,2021-06-30
2021-06-23,26286301,80923.0,98.0,2021-06-23
2021-07-01,26287059,80910.0,167.4,2021-07-01
2021-07-01,26287075,80908.0,606.4,2021-07-01
2021-07-01,26287189,80922.0,1291.4,2021-07-01
2021-07-01,26287701,80922.0,316.0,2021-07-01
2021-06-21,26287715,80910.0,98.0,2021-06-21
2021-07-01,26287829,80922.0,0.0,2021-07-01
2021-07-06,26288853,80911.0,0.0,2021-07-06
2021-07-01,26289505,80919.0,0.0,2021-07-01
2021-07-06,26293085,80918.0,234.0,2021-07-06
2021-06-28,26293222,80919.0,257.0,2021-06-28
2021-06-18,26297435,80919.0,129.0,2021-06-18
2021-07-01,26297692,80919.0,107.0,2021-07-01
2021-06-17,26299604,80921.0,103.0,2021-06-17
2021-06-18,26302805,80920.0,49.0,2021-06-18
2021-07-06,26302818,80918.0,2872.4,2021-07-06
2021-06-17,26302931,80903.0,0.0,2021-06-17
2021-06-22,26303701,80907.0,0.0,2021-06-22
2021-07-01,26304343,80919.0,49.0,2021-07-01
2021-07-02,26306388,80911.0,692.4,2021-07-02
2021-06-22,26307284,80921.0,84.0,2021-06-22
2021-06-22,26307813,80905.0,0.0,2021-06-22
2021-07-01,26308051,80924.0,334.95,2021-07-01
2021-07-01,26308066,80921.0,224.4,2021-07-01
2021-07-01,26308179,80904.0,49.0,2021-07-01
2021-06-17,26317273,80904.0,2671.4,2021-06-17
2021-06-28,26317663,80919.0,0.0,2021-06-28
2021-06-29,26318167,80132.0,187.0,2021-06-29
2021-07-02,26318184,80831.0,216.4,2021-07-02
2021-07-02,26318184-1,80831.0,-49.0,2021-07-02
2021-06-22,26318305,80906.0,206.0,2021-06-22
2021-07-02,26318550,80919.0,212.0,2021-07-02
2021-07-06,26318573,80924.0,250.0,2021-07-06
2021-07-01,26321664,80921.0,580.0,2021-07-01
2021-06-23,26321898,80909.0,0.0,2021-06-23
2021-07-02,26322009,80906.0,0.0,2021-07-02
2021-06-22,26323434,80920.0,288.0,2021-06-22
2021-07-06,26323448,80829.0,423.4,2021-07-06
2021-07-19,26323448-1,80829.0,-83.4,2021-07-06
2021-06-24,26323460,80920.0,0.0,2021-06-24
2021-07-06,26323677,80925.0,84.0,2021-07-06
2021-07-02,26323932,80925.0,349.0,2021-07-02
2021-07-06,26324056,80919.0,1046.4,2021-07-06
2021-06-21,26324949,80919.0,676.4,2021-06-21
2021-07-02,26325859,80919.0,1049.95,2021-07-02
2021-07-02,26329822,80919.0,49.0,2021-07-02
2021-07-02,26331491,80925.0,331.4,2021-07-02
2021-06-23,26331503,80903.0,0.0,2021-06-23
2021-07-02,26331863,80831.0,87.0,2021-07-02
2021-07-02,26337363,80911.0,74.0,2021-07-02
2021-07-15,26340179,80923.0,401.4,2021-07-15
2021-06-30,26340307,80908.0,19.0,2021-06-30
2021-06-28,26344661,80907.0,2918.4,2021-06-28
2021-06-21,26344915,80923.0,569.0,2021-06-21
2021-06-22,26347476,80918.0,30.0,2021-06-22
2021-07-02,26352471,80921.0,167.4,2021-07-02
2021-06-22,26355283,80921.0,1487.0,2021-06-22
2021-07-02,26359154,80924.0,1576.4,2021-07-02
2021-07-06,26361305,80917.0,235.4,2021-07-06
